"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"sass","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.4.0",NA,NA,"fs, rlang (>= 0.4.10), htmltools (>= 0.5.1), R6, rappdirs",NA,"testthat, knitr, rmarkdown, withr, shiny, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"scales","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.1.1",NA,"R (>= 3.2)","farver (>= 2.0.3), labeling, lifecycle, munsell (>= 0.5), R6,
RColorBrewer, viridisLite",NA,"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), testthat (>=
2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"selectr","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.4-2",NA,"R (>= 3.0)","methods, stringr, R6",NA,"testthat, XML, xml2",NA,"BSD_3_clause + file LICENCE",NA,NA,NA,NA,"no","4.1.0"
"sessioninfo","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.1.1",NA,NA,"cli, tools, utils, withr",NA,"callr, covr, mockery, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"sf","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.0-2",NA,"methods, R (>= 3.3.0)","classInt (>= 0.4-1), DBI (>= 0.8), graphics, grDevices, grid,
magrittr, Rcpp (>= 0.12.18), s2 (>= 1.0.5), stats, tools, units
(>= 0.6-0), utils","Rcpp","blob, covr, dplyr (>= 0.8-3), ggplot2, knitr, lwgeom (>=
0.2-1), maps, mapview, microbenchmark, odbc, pillar, pool,
raster, rgdal, rgeos, rlang, rmarkdown, RPostgres (>= 1.1.0),
RPostgreSQL, RSQLite, sp (>= 1.2-4), spatstat (>= 2.0-1),
spatstat.geom, spatstat.core, spatstat.linnet, spatstat.utils,
stars (>= 0.2-0), terra, testthat, tibble (>= 1.4.1), tidyr (>=
1.0-0), tidyselect (>= 1.0.0), tmap (>= 2.0), vctrs, wk",NA,"GPL-2 | MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"sfheaders","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.4.0",NA,NA,"geometries (>= 0.2.0), Rcpp","geometries, Rcpp","covr, knitr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"shiny","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.6.0",NA,"R (>= 3.0.2), methods","utils, grDevices, httpuv (>= 1.5.2), mime (>= 0.3), jsonlite
(>= 0.9.16), xtable, digest (>= 0.6.25), htmltools (>=
0.5.0.9001), R6 (>= 2.0), sourcetools, later (>= 1.0.0),
promises (>= 1.1.0), tools, crayon, rlang (>= 0.4.9), fastmap
(>= 1.0.0), withr, commonmark (>= 1.7), glue (>= 1.3.2), bslib
(>= 0.2.2.9002), cachem, ellipsis, lifecycle (>= 0.2.0)",NA,"datasets, Cairo (>= 1.5-5), testthat (>= 2.1.1), knitr (>=
1.6), markdown, rmarkdown, ggplot2, reactlog (>= 1.0.0),
magrittr, shinytest (>= 1.4.0.9003), yaml, future, dygraphs,
ragg, showtext, sass",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"shinydashboard","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.7.1",NA,"R (>= 3.0)","utils, shiny (>= 1.0.0), htmltools (>= 0.2.6), promises",NA,NA,NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"shinyjs","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","2.0.0",NA,"R (>= 3.1.0)","digest (>= 0.6.8), htmltools (>= 0.2.9), jsonlite, shiny (>=
1.0.0)",NA,"knitr (>= 1.7), rmarkdown, shinyAce, shinydisconnect,
testthat (>= 0.9.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"shinythemes","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.2.0",NA,"R (>= 3.0.0)","shiny (>= 0.11)",NA,NA,NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"shinyWidgets","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.6.0",NA,"R (>= 3.1.0)","bslib, sass, shiny (>= 0.14), htmltools, jsonlite, grDevices",NA,"shinydashboard, testthat, covr, shinydashboardPlus (>=
2.0.0), bs4Dash, argonR, argonDash, tablerDash, ggplot2, DT,
scales",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"sourcetools","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.1.7",NA,"R (>= 3.0.2)",NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"sp","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.4-5",NA,"R (>= 3.0.0), methods","utils, stats, graphics, grDevices, lattice, grid",NA,"RColorBrewer, rgdal (>= 1.2-3), rgeos (>= 0.3-13), gstat,
maptools, deldir",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"stringi","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.7.3",NA,"R (>= 3.1)","tools, utils, stats",NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.1.0"
"stringr","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.4.0",NA,"R (>= 3.1)","glue (>= 1.2.0), magrittr, stringi (>= 1.1.7)",NA,"covr, htmltools, htmlwidgets, knitr, rmarkdown, testthat",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"sys","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","3.4",NA,NA,NA,NA,"unix (>= 1.4), spelling, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"systemfonts","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.0.2",NA,"R (>= 3.2.0)",NA,"cpp11 (>= 0.2.1)","testthat (>= 2.1.0), covr, knitr, rmarkdown, tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"testthat","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","3.0.4",NA,"R (>= 3.1)","brio, callr (>= 3.5.1), cli (>= 2.2.0), crayon (>= 1.3.4),
desc, digest, ellipsis (>= 0.2.0), evaluate, jsonlite,
lifecycle, magrittr, methods, pkgload, praise, processx, ps (>=
1.3.4), R6 (>= 2.2.0), rlang (>= 0.4.9), utils, waldo (>=
0.2.4), withr (>= 2.3.0)",NA,"covr, curl (>= 0.9.5), diffviewer (>= 0.1.0), knitr, mockery,
rmarkdown, rstudioapi, shiny, usethis, vctrs (>= 0.1.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"thematic","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.1.2.1",NA,"R (>= 3.0.0)","utils, graphics, grDevices, grid, farver, rlang, scales,
rstudioapi (>= 0.8), rappdirs, ggplot2 (>= 3.3.0)",NA,"lattice, stats, withr, sysfonts, showtext, Cairo,
systemfonts, ragg, knitr, rmarkdown, htmltools, shiny (>=
1.5.0), bslib, testthat, gganimate, vdiffr (>= 1.0.0), svglite,
jsonlite, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"tibble","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","3.1.3",NA,"R (>= 3.1.0)","ellipsis (>= 0.3.2), fansi (>= 0.4.0), lifecycle (>= 0.2.0),
magrittr, methods, pillar (>= 1.6.0), pkgconfig, rlang (>=
0.4.3), utils, vctrs (>= 0.3.8)",NA,"bench, bit64, blob, cli, covr, crayon (>= 1.3.4), DiagrammeR,
dplyr, evaluate, formattable, ggplot2, hms, htmltools, knitr,
lubridate, mockr, nycflights13, purrr, rmarkdown, testthat (>=
3.0.2), tidyr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"tidyr","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.1.3",NA,"R (>= 3.1)","dplyr (>= 0.8.2), ellipsis (>= 0.1.0), glue, lifecycle,
magrittr, purrr, rlang, tibble (>= 2.1.1), tidyselect (>=
1.1.0), utils, vctrs (>= 0.3.6)","cpp11 (>= 0.2.6)","covr, data.table, jsonlite, knitr, readr, repurrrsive (>=
1.0.0), rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"tidyselect","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.1.1",NA,"R (>= 3.2)","ellipsis, glue (>= 1.3.0), purrr (>= 0.3.2), rlang (>= 0.4.6),
vctrs (>= 0.3.0)",NA,"covr, crayon, dplyr, knitr, magrittr, rmarkdown, testthat (>=
2.3.0), tibble (>= 2.1.3), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"tidyverse","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.3.1",NA,"R (>= 3.3)","broom (>= 0.7.6), cli (>= 2.4.0), crayon (>= 1.4.1), dbplyr
(>= 2.1.1), dplyr (>= 1.0.5), dtplyr (>= 1.1.0), forcats (>=
0.5.1), googledrive (>= 1.0.1), googlesheets4 (>= 0.3.0),
ggplot2 (>= 3.3.3), haven (>= 2.3.1), hms (>= 1.0.0), httr (>=
1.4.2), jsonlite (>= 1.7.2), lubridate (>= 1.7.10), magrittr
(>= 2.0.1), modelr (>= 0.1.8), pillar (>= 1.6.0), purrr (>=
0.3.4), readr (>= 1.4.0), readxl (>= 1.3.1), reprex (>= 2.0.0),
rlang (>= 0.4.10), rstudioapi (>= 0.13), rvest (>= 1.0.0),
stringr (>= 1.4.0), tibble (>= 3.1.0), tidyr (>= 1.1.3), xml2
(>= 1.3.2)",NA,"covr, feather, glue, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"tinytex","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.33",NA,NA,"xfun (>= 0.23)",NA,"testit, rstudioapi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"triebeard","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.3.0",NA,NA,"Rcpp","Rcpp","knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"tzdb","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.1.2",NA,"R (>= 3.3)",NA,"cpp11 (>= 0.2.7)","covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"units","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.7-2",NA,"R (>= 3.0.2)","Rcpp","Rcpp (>= 0.12.10)","udunits2, NISTunits, measurements, xml2, magrittr, pillar (>=
1.3.0), dplyr (>= 1.0.0), vctrs (>= 0.3.1), knitr, testthat (>=
3.0.0), ggforce, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"urltools","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.7.3",NA,"R (>= 2.10)","Rcpp, methods, triebeard","Rcpp","testthat, knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"usethis","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","2.0.1",NA,"R (>= 3.2)","cli, clipr (>= 0.3.0), crayon, curl (>= 2.7), desc, fs (>=
1.3.0), gert (>= 1.0.2), gh (>= 1.2.0), glue (>= 1.3.0),
jsonlite, lifecycle, purrr, rappdirs, rlang (>= 0.4.10),
rprojroot (>= 1.2), rstudioapi, stats, utils, whisker, withr
(>= 2.3.0), yaml",NA,"covr, knitr, magick, mockr, rmarkdown, roxygen2, spelling (>=
1.2), styler (>= 1.2.0), testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"utf8","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.2.2",NA,"R (>= 2.10)",NA,NA,"cli, covr, knitr, rlang, rmarkdown, testthat (>= 3.0.0),
withr",NA,"Apache License (== 2.0) | file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"uuid","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.1-4",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"V8","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","3.4.2",NA,NA,"Rcpp (>= 0.12.12), jsonlite (>= 1.0), curl (>= 1.0), utils","Rcpp","testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"vctrs","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.3.8",NA,"R (>= 3.3)","ellipsis (>= 0.2.0), glue, rlang (>= 0.4.10)",NA,"bit64, covr, crayon, dplyr (>= 0.8.5), generics, knitr,
pillar (>= 1.4.4), pkgdown, rmarkdown, testthat (>= 2.3.0),
tibble, withr, xml2, waldo (>= 0.2.0), zeallot",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"viridis","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.6.1",NA,"R (>= 2.10), viridisLite (>= 0.4.0)","stats, ggplot2 (>= 1.0.1), gridExtra",NA,"hexbin (>= 1.27.0), scales, MASS, knitr, dichromat,
colorspace, rasterVis, httr, mapproj, vdiffr, svglite (>=
1.2.0), testthat, covr, rmarkdown, rgdal",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"viridisLite","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.4.0",NA,"R (>= 2.10)",NA,NA,"hexbin (>= 1.27.0), ggplot2 (>= 1.0.1), testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"vroom","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.5.4",NA,"R (>= 3.1)","bit64, crayon, cli, glue, hms, lifecycle, methods, rlang (>=
0.4.2), stats, tibble (>= 2.0.0), tzdb (>= 0.1.1), vctrs (>=
0.2.0), tidyselect, withr","progress (>= 1.2.1), cpp11 (>= 0.2.0), tzdb (>= 0.1.1)","archive, bench (>= 1.1.0), covr, curl, dplyr, forcats, fs,
ggplot2, knitr, patchwork, prettyunits, purrr, rmarkdown,
rstudioapi, scales, spelling, testthat (>= 2.1.0), tidyr,
waldo, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"waldo","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.2.5",NA,NA,"cli, diffobj, fansi, glue, methods, rematch2, rlang (>=
0.4.10), tibble",NA,"testthat (>= 3.0.0), covr, R6",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"whisker","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.4",NA,NA,NA,NA,"markdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"withr","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","2.4.2",NA,"R (>= 3.2.0)","graphics, grDevices, stats",NA,"covr, DBI, knitr, lattice, methods, rmarkdown, RSQLite,
testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"wk","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.5.0",NA,NA,NA,"cpp11","testthat (>= 3.0.0), vctrs (>= 0.3.0), sf, tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"xfun","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.24",NA,NA,"stats, tools",NA,"testit, parallel, codetools, rstudioapi, tinytex (>= 0.30),
mime, markdown, knitr, htmltools, remotes, pak, renv, curl,
jsonlite, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"xml2","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.3.2",NA,"R (>= 3.1.0)","methods",NA,"covr, curl, httr, knitr, magrittr, mockery, rmarkdown,
testthat (>= 2.1.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"xopen","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.0.0",NA,"R (>= 3.1)","processx",NA,"ps, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"xtable","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.8-4",NA,"R (>= 2.10.0)","stats, utils",NA,"knitr, plm, zoo, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"xts","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.12.1",NA,"zoo (>= 1.7-12)","methods","zoo","timeSeries, timeDate, tseries, chron, fts, tis, RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"yaml","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","2.2.1",NA,NA,NA,NA,"RUnit",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"zip","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","2.2.0",NA,NA,NA,NA,"covr, processx, R6, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"zoo","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.8-9",NA,"R (>= 3.1.0), stats","utils, graphics, grDevices, lattice (>= 0.20-27)",NA,"AER, coda, chron, fts, ggplot2 (>= 3.0.0), mondate, scales,
stinepack, strucchange, timeDate, timeSeries, tis, tseries, xts",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"base","/opt/R/4.1.0/lib/R/library","4.1.0","base",NA,NA,NA,"methods",NA,"Part of R 4.1.0",NA,NA,NA,NA,NA,"4.1.0"
"boot","/opt/R/4.1.0/lib/R/library","1.3-28","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","4.1.0"
"class","/opt/R/4.1.0/lib/R/library","7.3-19","recommended","R (>= 3.0.0), stats, utils","MASS",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"cluster","/opt/R/4.1.0/lib/R/library","2.1.2","recommended","R (>= 3.4.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"codetools","/opt/R/4.1.0/lib/R/library","0.2-18","recommended","R (>= 2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.1.0"
"compiler","/opt/R/4.1.0/lib/R/library","4.1.0","base",NA,NA,NA,NA,NA,"Part of R 4.1.0",NA,NA,NA,NA,NA,"4.1.0"
"datasets","/opt/R/4.1.0/lib/R/library","4.1.0","base",NA,NA,NA,NA,NA,"Part of R 4.1.0",NA,NA,NA,NA,NA,"4.1.0"
"foreign","/opt/R/4.1.0/lib/R/library","0.8-81","recommended","R (>= 4.0.0)","methods, utils, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"graphics","/opt/R/4.1.0/lib/R/library","4.1.0","base",NA,"grDevices",NA,NA,NA,"Part of R 4.1.0",NA,NA,NA,NA,"yes","4.1.0"
"grDevices","/opt/R/4.1.0/lib/R/library","4.1.0","base",NA,NA,NA,"KernSmooth",NA,"Part of R 4.1.0",NA,NA,NA,NA,"yes","4.1.0"
"grid","/opt/R/4.1.0/lib/R/library","4.1.0","base",NA,"grDevices, utils",NA,"lattice",NA,"Part of R 4.1.0",NA,NA,NA,NA,"yes","4.1.0"
"KernSmooth","/opt/R/4.1.0/lib/R/library","2.23-20","recommended","R (>= 2.5.0), stats",NA,NA,"MASS, carData",NA,"Unlimited",NA,NA,NA,NA,"yes","4.1.0"
"lattice","/opt/R/4.1.0/lib/R/library","0.20-44","recommended","R (>= 3.0.0)","grid, grDevices, graphics, stats, utils",NA,"KernSmooth, MASS, latticeExtra","chron","GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"MASS","/opt/R/4.1.0/lib/R/library","7.3-54","recommended","R (>= 3.3.0), grDevices, graphics, stats, utils","methods",NA,"lattice, nlme, nnet, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"Matrix","/opt/R/4.1.0/lib/R/library","1.3-3","recommended","R (>= 3.5.0)","methods, graphics, grid, stats, utils, lattice",NA,"expm, MASS","MatrixModels, graph, SparseM, sfsmisc, igraph, maptools, sp,
spdep","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.1.0"
"methods","/opt/R/4.1.0/lib/R/library","4.1.0","base",NA,"utils, stats",NA,"codetools",NA,"Part of R 4.1.0",NA,NA,NA,NA,"yes","4.1.0"
"mgcv","/opt/R/4.1.0/lib/R/library","1.8-35","recommended","R (>= 3.6.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"nlme","/opt/R/4.1.0/lib/R/library","3.1-152","recommended","R (>= 3.4.0)","graphics, stats, utils, lattice",NA,"Hmisc, MASS",NA,"GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.1.0"
"nnet","/opt/R/4.1.0/lib/R/library","7.3-16","recommended","R (>= 3.0.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"parallel","/opt/R/4.1.0/lib/R/library","4.1.0","base",NA,"tools, compiler",NA,"methods","snow, nws, Rmpi","Part of R 4.1.0",NA,NA,NA,NA,"yes","4.1.0"
"rpart","/opt/R/4.1.0/lib/R/library","4.1-15","recommended","R (>= 2.15.0), graphics, stats, grDevices",NA,NA,"survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"spatial","/opt/R/4.1.0/lib/R/library","7.3-14","recommended","R (>= 3.0.0), graphics, stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"splines","/opt/R/4.1.0/lib/R/library","4.1.0","base",NA,"graphics, stats",NA,"Matrix, methods",NA,"Part of R 4.1.0",NA,NA,NA,NA,"yes","4.1.0"
"stats","/opt/R/4.1.0/lib/R/library","4.1.0","base",NA,"utils, grDevices, graphics",NA,"MASS, Matrix, SuppDists, methods, stats4",NA,"Part of R 4.1.0",NA,NA,NA,NA,"yes","4.1.0"
"stats4","/opt/R/4.1.0/lib/R/library","4.1.0","base",NA,"graphics, methods, stats",NA,NA,NA,"Part of R 4.1.0",NA,NA,NA,NA,NA,"4.1.0"
"survival","/opt/R/4.1.0/lib/R/library","3.2-11","recommended","R (>= 3.5.0)","graphics, Matrix, methods, splines, stats, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"tcltk","/opt/R/4.1.0/lib/R/library","4.1.0","base",NA,"utils",NA,NA,NA,"Part of R 4.1.0",NA,NA,NA,NA,"yes","4.1.0"
"tools","/opt/R/4.1.0/lib/R/library","4.1.0","base",NA,NA,NA,"codetools, methods, xml2, curl, commonmark",NA,"Part of R 4.1.0",NA,NA,NA,NA,"yes","4.1.0"
"utils","/opt/R/4.1.0/lib/R/library","4.1.0","base",NA,NA,NA,"methods, xml2, commonmark",NA,"Part of R 4.1.0",NA,NA,NA,NA,"yes","4.1.0"
